scenario,controller,iteration,time_s,start_normalized_percent,target_normalized_percent,measurement_normalized_percent,error_normalized_percent,effort_normalized_percent_per_s,kp,ki,kd
PID_0_100,PID,27,0.540000,0.000000,100.000000,53.722983,46.277017,88.358824,2.000000,0.100000,0.050000
PID_0_100,PID,28,0.560000,0.000000,100.000000,55.490160,44.509840,85.083574,2.000000,0.100000,0.050000
PID_0_100,PID,29,0.580000,0.000000,100.000000,57.191831,42.808169,81.929610,2.000000,0.100000,0.050000
PID_0_100,PID,30,0.600000,0.000000,100.000000,58.830423,41.169577,78.892463,2.000000,0.100000,0.050000
PID_0_100,PID,31,0.620000,0.000000,100.000000,60.408273,39.591727,75.967805,2.000000,0.100000,0.050000
PID_0_100,PID,32,0.640000,0.000000,100.000000,61.927629,38.072371,73.151470,2.000000,0.100000,0.050000
PID_0_100,PID,33,0.660000,0.000000,100.000000,63.390658,36.609342,70.439447,2.000000,0.100000,0.050000
PID_0_100,PID,34,0.680000,0.000000,100.000000,64.799447,35.200553,67.827871,2.000000,0.100000,0.050000
PID_0_100,PID,35,0.700000,0.000000,100.000000,66.156004,33.843996,65.313023,2.000000,0.100000,0.050000
PID_0_100,PID,36,0.720000,0.000000,100.000000,67.462265,32.537735,62.891320,2.000000,0.100000,0.050000
PID_0_100,PID,37,0.740000,0.000000,100.000000,68.720091,31.279909,60.559312,2.000000,0.100000,0.050000
PID_0_100,PID,38,0.760000,0.000000,100.000000,69.931277,30.068723,58.313678,2.000000,0.100000,0.050000
PID_0_100,PID,39,0.780000,0.000000,100.000000,71.097551,28.902449,56.151217,2.000000,0.100000,0.050000
PID_0_100,PID,40,0.800000,0.000000,100.000000,72.220575,27.779425,54.068850,2.000000,0.100000,0.050000
PID_0_100,PID,41,0.820000,0.000000,100.000000,73.301952,26.698048,52.063611,2.000000,0.100000,0.050000
PID_0_100,PID,42,0.840000,0.000000,100.000000,74.343225,25.656775,50.132642,2.000000,0.100000,0.050000
PID_0_100,PID,43,0.860000,0.000000,100.000000,75.345877,24.654123,48.273193,2.000000,0.100000,0.050000
